Line,population,Ala,Arg,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
88,1,111.5,102.5,156,298,125,37.5,81.5,129.5,89.5,26,68,116,110,85,17.5,100
108,1,83.46,77.08,110.56,199.34,180.2,24.45,68.57,102.06,64.85,19.14,36.15,79.73,72.29,71.23,26.58,73.89
139,1,104.42,80.84,119.58,233.54,290.25,29.19,72.42,103.3,72.42,26.95,56.14,96.56,86.46,87.58,16.28,89.82
159,1,93.12,68.94,129.13,180.58,156.4,29.32,68.94,101.86,80.77,32.41,54.53,94.15,84.37,82.32,27.78,77.68
265,1,113.44,91.15,142.17,279.38,214.98,31.21,93.13,125.33,80.74,24.77,41.61,110.96,91.15,98.08,31.21,95.11
350,1,132.4,78.21,162.04,287.8,285.24,33.23,89.46,138.53,96.1,53.67,64.41,127.8,103.26,112.46,38.85,101.73
351,1,78.74,60.06,107,168.58,122.65,22.21,57.54,85.3,63.6,29.27,46.44,77.22,75.21,76.21,20.69,69.15
403,1,100.74,67.16,121.48,216.79,202.47,29.63,75.56,106.67,80.99,36.05,54.81,103.21,82.96,88.4,29.14,86.91
410,1,105.81,71.05,130.35,221.34,318.47,31.18,77.19,120.64,87.92,38.34,58.79,106.84,89.97,95.59,32.72,89.97
